0,1,2,3,4
손그림과 파워포인트로 교실 속 콘텐츠 만들기,30시간,2023.10.18,5점,"손그림에 재능이 없더라도 그릴 수 있도록 자세한 설명이 있어서 알찬 강의였습니다. 특히 손그림을 학생들에게 유용하게 사용 할 수 있도록 파워보인트를 이용한 방법을 소개해 주어서 실제 학교에서 지도할 때 잘 사용할 수 있을 것 같습니다.
파워포인트의 전반적인 그리기 방법을 함께 소개해 주어서 그리기에 재능이 없더라도 쉽게 적용할 수 있는 점이 이 강의의 유용한 점이라고 생각합니다."
초등 고학년 탐구생활,15시간,2023.10.18,5점,"본 연수를 수강 하면서 고학년 학생들을 이해하는데 큰 도움이 되었습니다.
앞으로도 생활 지도 및 학생 생활에 도움이 되는 많은 연수가 있으면 좋겠습니다."
초등 고학년 탐구생활,15시간,2023.10.18,5점,"학교에서 단체로 신청해서 듣는데 너무 유익하고 좋은 연수입니다~
많은 선생님들께서 들으시면 좋겠습니다~
감사합니다~"
메이슨의 패턴잉글리쉬,30시간,2023.10.17,5점,익숙해 질 때까지 여러번 반복해서 익히니 좋네요.
초등 고학년 탐구생활,15시간,2023.10.17,5점,"본 연수를 수강 하면서 고학년 학생들을 이해하는데 큰 도움이 되었습니다.
앞으로도 생활 지도 및 학생 생활에 도움이 되는 많은 연수가 있으면 좋겠습니다."
세상에서 제일 쉬운 과학 이야기,30시간,2023.10.17,3점,"연수는 참 재밌어요.
평소 알고 있던 지식이 더 깊어지는 기분이구요.
다만 시험문제가 어렵다기 보다는 역사 문제 같아요.
다음중 ~~~을 한 사람은 누구인가? 이런문제가 1/3인데...
그부분만 수정되면 참 좋은 연수가 될 것같아요."
파워포인트로 끝내는 교실 콘텐츠 창작 비법 노트,15시간,2023.10.17,4점,파워포인트로 정말 다양한 걸 할 수 있다는 걸 알았어요..제가 모두 사용하기에는 어렵겠지만 몇개는 유용하게 이용할 수 있을거같아요^^
쉽게 시작할 수 있는 노션과 ZOOM 활용 꿀팁!,30시간,2023.10.15,5점,어려워 보이던 도구들을 쉽게 사용할 수 있게 해 주셔서 감사합니다.
실전 교권침해 대처 & 생활지도 비법! (노쇼방지 사전예약금100%환불),0시간,2023.10.12,5점,올해 담당한 학년은 역대급 금쪽이가 반마다 2~3명씩이 존재하는 중학교 2학년입니다. 경력이 결코 짧지 않지만 학생들은 늘 새롭고 늘 창의적으로 좋던 나쁘던 일을 만든다는 걸 절감하고 있던 차에 너무나 좋은 강의를 알게 되었습니다. 벌써 선생님의 강의를 두번째로 듣고 있는데 정말 큰 도움이 됩니다. 여유를 가지고 학생들을 다루고 덜 상처받을 수 있다는 걸 배우고 숨 쉴수 있는 여유를 얻게 된 것 같아 감사한 마음이 듭니다.
"학급경영, 수업, 업무 - 노션으로 한 방에 해결하기",15시간,2023.10.12,5점,"예전부터 노션이 유명하고 업무에 도움이 된다는 것을 들었지만, 처음 시작하기 어려웠는데 연수를 통해 노션을 시작할 수 있었습니다."
"상상을 실천으로, 삶을 바꾸는 사회 수업 이야기",5시간,2023.10.12,3점,사회를 재미없어 하는 아이들을 흥미있게 지도할 수 있는 다양한 방법을 배울 수 있어서 너무 유익하였습니다.
왕초보를 위한 캘리그래피,15시간,2023.10.12,5점,"해마다 들어야 하는 필수 연수들이 정해져 있어서 정해진 연수를 듣다 보면 똑같은 내용을 반복해서 흥미가 떨어집니다. 아마 다른 선생님들도 저와 비슷한 경험을 하셨을 거예요.
왕초보를 위한 캘리그래피 연수는 그동안 들었던 식상한 연수가 아닌 듣고 싶어서 신청한 연수라 즐겁게 들을 수 있었던 연수였어요. 이번 연수는 배우고 직접 학생들과 함께 활용해 볼 수 있는, 일상생활에서 예쁘게 내 마음을 전할 때 유용한, 스트레스 해소, 정신 수양을 위한 좋은 수업이었어요.
듣기 참 잘한 연수!"
수업이 즐거워지는 과학 교과서 활용 꿀팁 (초등 3~4학년),5시간,2023.10.12,3점,과학 교과서를 재미있게 활용할 수 있는 꿀팁들이 있어서 수업시간에 잘 활용할 수 있는 연수였습니다.
수업을 살리는 놀이 레시피,30시간,2023.10.12,3점,"수업시간과 연계하여 놀이 활동을 할 수 있어서 수업이 지루하지 않고 재미있었습니다.
특별한 준비물 없이도 간단하게 할 수 있어서 준비하는 선생님 입장에서 부담도 적고 아이들은 흥미있게 참여하여 너무 유익한 연수를 들었다는 생각이 들었습니다."
정훈쌤의 뚝딱 칼림바,15시간,2023.10.12,3점,창의적 체험활동 시간을 이용하여 1인 1악기 교육으로 칼림바수업을 진행했는데 음악을 잘 모르는 선생님도 학생들도 쉽게 배우고 칼림바 소리에 힐링되는 시간이었습니다.
메이슨의 Travel English,30시간,2023.10.12,5점,"해외여행을 너무 가고 싶은 마음에 연수부터 먼저 들었어요
자유여행을 하면서 영어가 부족해서 파파고를 번역하고 바디랭귀지로 의사소통하던 제가 부끄러워 늘 영어공부를 해야지 마음 먹었는데 생각보다 잘 되지 않더라구요
그러다 연수원에 있는 과정을 보니 딱 나에게 필요한 연수다 싶어 신청했습니다.
실질적인 상황에 맞는 영어 어렵지 않은 표현으로 쉽게 익힐 수 있었어요
조만간 가게 될 여행에서 자연스럽게 영어가 나오길 기대해 봅니다~~~"
수업을 살리는 놀이 레시피,30시간,2023.10.12,4점,수업시간이 재미가 있어 학생들이 즐겁게 참여할 수 있을 것 같아요
토마토샘의 요즘 보건 수업 (노쇼방지 사전예약금100%환불),0시간,2023.10.11,4점,"전체적으로 좋았던 연수였어요. 그런데 어떻게 피피티를 만드는지 과정을 연수했어도 좋았을거 같아요. 아니면 선생님의 피피티를 보면서 예시를 좀 더 자세히 보여주면서 이렇게 만들고 이렇게 수업해요 라고 해도 좋았을거 같고.
아니면 한 차시 수업시간이 어떻게 흘러가는지도 궁금해요~"
수업을 살리는 놀이 레시피,30시간,2023.10.11,5점,"저학년을 많이 맡게 되면서 통합 과목을 가르칠 때 어떻게 하면 똑같은 내용이라도 아이들이 흥미를 느끼면서도 자연스러운 배움이 이루어질 수 있을까 고민이 깊어지던 나날이었습니다.
매일 비슷한 그리기, 색칠하기 활동 위주의 제 수업에도 매너리즘을 느끼고 있었고요.
그러던 중 티셀파 연수원에서 나의 고민을 해결해줄 수 있는 연수가 있을까 찾아보게 되었고 '수업을 살리는 놀이 레시피' 연수명을 발견하고 이거다! 라는 생각이 들었습니다.


이미 교육현장에서는 수많은 수업놀이가 알려져있고 사용되고 있습니다만 오히려 너무 많은 선택지에 혼란스러움을 느끼는 선생님이 많을 것 같습니다.
하지만 본 연수는 카테고리별로 놀이를 분류해 가이드라인을 제시해 주고 그것을 바탕으로 다양하게 변형하고 적용하여 선생님들 학급의 특성에 맞게 놀이를 응용해볼 수 있어 좋았습니다.
그리고 무엇보다 현직 교사 선생님들이 모여 고민하고 만들어진 내용들이라
현장에 바로 적용할 수 있는 놀이를 배울 수 있어 좋았습니다. 실제로 수업놀이가 적용된 수업 영상을 볼 수 있어 연수를 듣는 학습자의 입장에서 이해하기가 더 쉽더라구요.
이런 연수를 앉은 자리에서 편하게 보면서 배울 수 있어 다행이랄까요.
내 수업엔 이렇게 적용해봐야지 라는 생각이 자동으로 떠올라 수업준비가 힘들지 않고 오히려 아이들의 반응이 어떨지 궁금해 수업이 기다려지더라구요.

이런 분들께 '수업을 살리는 놀이 레시피'를 연수를 적극 추천합니다!
1. 수업놀이에 막 관심이 생겼지만 방법을 몰라 헤메였던 선생님
2. 실제 초등교육 현장에 유의미하게 활용될 수 있는 수업놀이를 찾으시는 선생님
3. 3월 학기 초, 첫 만남, 개학 첫날 등의 날에서 항상 어떤 활동을 해야 좋을 지 고민했던 선생님
4. 단순한 재미를 위한 놀이가 아닌 수업 과목에 실제로 적용할 수 있는 수업놀이를 알고싶은 선생님
5. 쏟아지는 수업 놀이에 대해 항목별로 체계를 잡고 싶으신 선생님


그리고 추가로 연수에 있는 내용이 그대로 담긴 천재교육에서 만든 '수업을 살리는 놀이 레시피 101'책도 추천합니다. 수업놀이에 필요한 준비물과 놀이순서, 놀이에 걸리는 시간 등이 자세히 담겨 있어 혹시라도 기억이 나지 않을때 항상 책자에 꽂아두고 그때 그때 참고하였고 많은 도움이 되었습니다."
"학급경영, 수업, 업무 - 노션으로 한 방에 해결하기",15시간,2023.10.11,5점,"노션의 개념, 활용에 관한 정보가 유익한 연수였습니다. 노션에 관심을 갖게 되었고, 업무에서 활용해 보겠습니다!"
정훈쌤의 뚝딱 칼림바,15시간,2023.10.11,5점,칼림바 색다른 경험 좋아요~~~추천합니다~~~^^
나만의 여행책 만들기,30시간,2023.10.10,2점,여행 가고 싶네요.
English Grammar in Use 2,30시간,2023.10.10,5점,오랜만에 영문법 공부했습니다. 휘리릭 공부하기 좋아요
교과수업에 활용하는 진로교육,30시간,2023.10.09,5점,교사 8년차이지만 막막했던 진로교육에 대해서 많이 배우고 갑니다!! 감사합니다!ㅎㅎㅎ
독립운동 현장읽기 - 의병전쟁,15시간,2023.10.06,4점,잘 몰랐던 의병 전쟁에 대해 알게 되어 좋았습니다.
초등학생 탐구생활,30시간,2023.10.06,5점,나의 언어 습관에 대해 많은 반성을 하게 되었습니다.
메디컬 콘서트 1탄 - 현대인의 만성 질병,15시간,2023.10.05,5점,"평상시에 크고 작은 질병들에 관해 궁금했던 것들에 대해 많이 해소되는 연수입니다.
심화 과정도 들었으면 좋겠습니다.
일상생활에서 건강관리에 신경쓰면서 병원에 갈 일을 최소로 했으면 좋곘네요
여러 전문의의 강의를 들으면서 많은 도움이 되었습니다.
지속적으로 1탄 2탄 3탄에 이어 운동요법도 추가되었으면 좋겠습니다."
초등학생 탐구생활,30시간,2023.10.05,5점,"2023년 올해 가장 현실적으로 와 닿은 연수라 30차시 모두 집중해서 듣게 되었습니다.
주변 선생님들께 꼭 추천하고 싶은 연수입니다."
기후변화 이야기,15시간,2023.10.05,5점,기후변화 그 위기는 우리 모두가 함께 노력해야할 것 같습니다.
지리와 함께하는 인문학 티타임,30시간,2023.10.05,5점,책을 읽어보고 이야기를 들으며 하나하나 짚어보며 따라가보는 재미가 있습니다. 그리고 설명해주실때 고개이름나 지명 등의 유래를 하나하나 풀어 이야기해주시고 그것을 또 인문학적으로 연관시켜 이해해주니 그 지역이나 소소한 이름과 명칭등 하나하나가 의미가 있고 삶이 깃들어 있는 하나의 문화가 되더라구요. 지식의 저변을 넓히고 폭 넓게 이해한다고 할까요? 옛 이야기를 듣는것처럼 편하게 들었던 연수였던것 같습니다.
쉽게 배우고 활용하는 교실 속 손그림 그리기,15시간,2023.10.05,5점,"간단한 재료소개에서부터, 어떤 방식으로 그려나가면 좋을지, 포인트를 어디에 둬야하는지, 생동감 있는 방식은 어떻게 그려내면 좋을지 등 전반적으로 손그림을 어렵게 여기지 않고 일상에서 실천하며 하나하나 시작할 수 있게 알려주고 있어서 저도 한번 해볼까? 아~! 이렇게 그려야 되는구나. 라고 이해하면서 따라 그리고 있더라구요. 활용면에서는 아직 어떻게 해야할지 고민이 되긴 하지만요. 우선 시작하는 것에 의의를 두고 있습니다."
교사를 위한 교실 밖 여행인문학,15시간,2023.10.05,4점,그 지역의 여행책자를 보는 것도 좋지만 인문학적 특성을 생각하며 공부한다는 생각으로 쉬엄쉬엄 들으니 인식이 달라집니다.
쉽게 시작할 수 있는 노션과 ZOOM 활용 꿀팁!,30시간,2023.10.04,5점,감사합니다~
메이슨의 Travel English,30시간,2023.10.02,1점,스크립트 제공이 안됨. 화면 정지와 재생 버튼이 불편함.
저자가 알려주는 수학 교과서 100% 활용하기 (초등 3~4학년),5시간,2023.09.30,5점,"놀이를 이용한 창의융합 수업이나 프로젝트 수업 등, 한 시간 수학 수업이 미래를 품는 시간이 되네요. 짧지만 강렬한 메시지가 있는 좋은 연수였습니다."
초등학생 탐구생활,30시간,2023.09.30,5점,"그동안 궁금했던 부분들을 이야기 나눌 수 있는 시간이 되어서 너무 좋았습니다.
항상 저의 입장에서만 생각해봤지 아이들이 왜 그렇게 행동하고 말을 하는지에 대해서는 곰곰히 생각해본적이 없던거 같네요
이번 강의를 통해 배운 내용을 바탕으로 보다 제대로 체계적으로 학급생활을 지도하도록 하겠습니다. 많은 도움이 되었습니다"
손그림과 파워포인트로 교실 속 콘텐츠 만들기,30시간,2023.09.29,5점,많이 활용할 수 있는 연수를 받아 너무 좋았고 파워포인트에 조금 더 자신감이 생긴 것 같습니다. 감사합니다.
재테크보다 중요한 나만의 재무설계,15시간,2023.09.28,5점,"재테크의 정석과도 같은 강의였습니다.
특히 도움이 되었던 부분은 절세 부분인데, 이 강의를 듣고 내년 연말 정산을 대비해야 할 필요성을 느끼고 연금저축펀드 계좌에 돈을 입금하여 내년도 세금에 대비할 수 있도록 하였습니다.

또한 주식과 부동산에 대한 기초적인 개념을 잡고 투자마인드를 기를 수 있었던 것이 좋았습니다.
강의는 다 들었지만 PDF파일로 복습하면서 월급 관리를 잘 해서 안정적인 재무능력을 갖출 수 있도록 노력해야 하겠습니다.

현재 S&P500 ETF 등으로 자산을 배분하고 있는데, 주식 뿐 아니라 부동산도 공부를 많이 해서 적은 교사월급이지만 안정적인 생활을 할 수 있도록 노력해야겠다는 생각을 하게 되었습니다.
인플레이션이 심화되고 있는 가운데 월급을 단순히 통장에 넣어놓는 것으로는 복잡한 현대 사회에서 살아남을 수가 없습니다.
사용하고 남은 잉여자금을 어떻게 관리하냐에 따라서 미래의 안정성에도 큰 차이가 생길 것으로 생각합니다.

다른 강의보다 먼저 재테크 강의를 수강해보실 것을 추천합니다."
(4기) 보드게임을 활용한 학급경영,0시간,2023.09.27,5점,"규칙 설명만 들으면 잘 모르지만 실제 해보면서 방법을 알게 될 수도 있고, 게임들에 따라 온라인, 오프라인의 재미가 다를 것 같습니다. 강사님 말씀대로 게임중독 우려 때문에 교육용으로는 온라인 게임보다는 오프라인이 훨씬 좋을 것 같습니다. 게임에는 정말 많은 종류가 있다는 것을 알게 되었고, 내용에 따라서는 학습에도 접목시킬 수 있을 것 같았습니다. 열심히 연수해주신 선생님 감사합니다."
쉽게 배우고 활용하는 교실 속 손그림 그리기,15시간,2023.09.27,5점,"손그림 그리기의 원칙부터 다양한 도형을 이용하여 그림을 그리는 사례를 보여주어 연수진행을 하며 그림을 연습하며 연수를 받을 수 있습니다.
미술시간에 아이들과 함께 영상을 보며 그려보는 것도 추천합니다.
우리반 똥손을 금손으로 만들 수 있어요.
선, 도형 몇 개로 다양한 물건을 그려내는 것이 매우 신기합니다. 마크와 디자인에 대해 공부할 때 기본적인 그리기 설명해주면 도움이 될 거예요."
"조물조물 뚝딱뚝딱, 놀이처럼 즐거운 STEAM 공작소",15시간,2023.09.27,5점,"평소 STEAM교육에 대해 명확한 이해와 실제 수업에 적용하고 싶은 사례들을 많이 알고 싶었던 차에 관련 연수가 있어서 신청하게 되었습니다. 미리보기와 학습목차를 통해 어떤 내용의 연수인지 먼저 확인하였더니 딱 내가 원하던 연수라 망설임 없이 선택하였습니다.

가장 먼저 학생들이 즐겁게 할 수 있는 조작 활동 중심의 내용이 마음에 들었고 실제 수업에 활용할 수 있는 다양한 지식과 내용으로 이루어진 점이 좋았습니다.

초등학교 전학년에서 두루 활용가능한 활동으로 이루어져 있고 과학, 실과, 미술, 수학 등 여러 교과목과 연계하여 활용할 수 있었습니다. 또한 각 활동별로 유의사항과 주의사항을 자세히 알려주어 혹시나 있을지 모르는 안전사고도 미연에 예방하고 대비할 수 있도록 세심하게 안내되어 좋았습니다.

또한 창체 시간이나 과학의 날 행사와도 관련하여 할 수 있는 활동들이 많아서 접목해서 활동한다면 아이들이 즐겁게 참여할 수 있을 것 같습니다.

그리고 딱딱한 이론 설명보다 실험과 활동을 통해 배울 수 있고 나아가 예술적으로 표현까지 할 수 있어서 저학년부터 고학년까지 다양하게 두루 활용할 수 있는 점이 좋습니다.

교실에서 실제 학생들을 지도할 때 활용할 수 있는 활동 중심의 자료를 찾으시는 선생님들께 도움이 되는 연수입니다.

수업에 바로 투입 가능한 알차고 유익한 연수를 마련해주셔서 감사합니다."
교과수업에 활용하는 진로교육,30시간,2023.09.26,5점,진로교육을 진로와 직업 수업시간에만 하는 것이 아는 모든 교과수업에서 할 수 있음을 알려주는 연수입니다.
활동하고 토론하는 통합사회 수업방법,15시간,2023.09.26,5점,"프로젝트 학습, NIE교육, 토의토론 수업, 게임활용수업 등 다양한 활동 방법을 소개해주는 알찬 연수였습니다.
특히 지속가능한 발전과 미래 사회 분야의 '로봇세' 프로콘 토의토론 활동 방법과, 미래 상황 보드판을 활용한 수업이 인상적이었습니다.
영상 마지막 부분에 참고할 만한 사이트와 자료를 상세히 설명해주신 부분도 좋았습니다.
다양한 주제의 통합사회 활동 수업에 아이디어를 얻어가는 유익한 연수였습니다. 감사합니다."
독립운동 현장읽기 - 의병전쟁,15시간,2023.09.25,5점,"과거 시험에는 잘 나오지 않는 의병을 '중요하지 않다'라고 이야기 하는 것은 잘못되었다는 모 강사의 말이 떠오릅니다. 그 말이 깊이 동감하였으나 지나고 보면 실은 여전히 시험에 잘 나오는 인물만을 기억하였던 제 자신을 되돌아 보며, 부끄러움을 조금이나마 덜 수 있게 되어 감사합니다."
아이의 마음을 읽는 다양한 미술치료 기법,15시간,2023.09.25,5점,"연수를 신청할 때는 후기가 좋아서 신청했는데 다른 미술치료랑 연계된거 같긴 한데 뭐를 들을까 고민을 했거든요. 들어보니 이건 고민할 것이 아니라 우선 듣고 볼 연수이네요. 너무 좋았고, 아이들 지도 방법을 배운 것도 좋았지만 듣는 동안 저 또한 힐링받는 기분이었습니다.

아이들의 속 마음을 이해한다고 문제가 해결되지 않고 학부모와의 관계에서 교육의 길을 잃은듯한 요즘이었는데 선생님 말씀을 듣고 있으니 마음이 따뜻해지고 아이와 진심어린 소통을 하게 되었을 때 기쁨과 효과를 떠올리게 됩니다.

내용 중에서 아이가 활동 중에 교사를 도발하려고 할 때 대처 마음가짐을 이야기 해주신 부분이 가장 인상깊고 휘말리지 않고 아이를 대하는게 진짜 아이에게 필요한 안정감을 주는 것임을 다시한번 다져 봅니다. 좋은 연수 감사합니다."
7인의 전문의와 함께하는 메디컬 콘서트,30시간,2023.09.25,5점,"티비에서만 보던 유명한 의사들을 연수로 만날 수 있다니 너무 기대됩니다.

내용도 좋고 재미있습니다"
쉽게 배우고 활용하는 교실 속 손그림 그리기,15시간,2023.09.23,5점,"그림 공부는 항상 하고 싶어도 시작이 엄두가 안나고 따로 레슨 받을 시간도 없었으며, 그동안 그렇다고 할만한 손 그림 연수는 없었기에 이번에 있어서 바로 시작했습니다. 너무 재미있고, 유익합니다. 모두에게 추천하고 싶습니다. 선생님 건강하십시오"
"조물조물 뚝딱뚝딱, 놀이처럼 즐거운 STEAM 공작소",15시간,2023.09.22,5점,"저희 학교는 스팀관련 학교행사를 하고 있어서 수강하게 되었어요
과학의 날에 잘 활용할 수 있는 자료가 가득하네요. 자세한 설명과 자료까지 다운받아 쓸 수 있어서 유용합니다.
또한, 교과수업과 관련하여 응용 실험으로 활용해도 좋은 자료가 있네요. 알찬 연수 감사합니다."
독립운동 현장읽기 - 구국계몽운동,15시간,2023.09.22,4점,잘 몰랐던 독립 운동에 대해 알게 되어 좋았습니다.
정훈쌤의 뚝딱 칼림바,15시간,2023.09.22,5점,칼림바 소리가 예뻐서 연수하는 동안 즐거웠어요.
교과서 속 세계문화유산,30시간,2023.09.21,5점,"우리나라에 이렇게 많은 세계문화유산이 있는지 처음 알게 되었습니다.

문화유산 하나하나 마다 가치가 빛나고 우리가 먼저 알아야 우리의 문화를 이어나갈 수 있다는 책임감이 생깁니다.

수업 방법에 대한 안내가 더불어 있어서 활용 가능성이 높아서 유익한 연수입니다."
문학 속 지리 이야기,15시간,2023.09.19,5점,"최근에 관심이 가서 공부하고 있는 한국사, 세계사 이야기에서 빠질 수 없는 게 지도이다.
다시 말해 지리.
땅을 이해하니 역사가 더 이해하기 쉬워졌다.
이번 연수를 선택한 것도 이런 이유에서였다.
문학 속에 있는 이야기들의 바탕에 땅의 이야기가 연결되어 있음을 알고 나니 세상 모든 이야기들이 더 탐구하고 싶어졌다.
모든 학문은 연결되어 있다고 하지 않나.
지리, 역사, 과학 등등 알면 알수록 더욱 깊이가 깊어지는 것 같아 즐겁다.
그런 의미에서 이번 연수는 땅의 이야기에 접근하기에 딱 맞춤인 좋은 연수다.
덩달아 강사님의 관련 도서를 더 찾아 읽어보고 싶은 생각이 들었다.

강추!!"
왕초보를 위한 캘리그래피,15시간,2023.09.18,5점,처음 접해 본 캘리그래피인데 흥미가 많이 생겼습니다~ 좋아요!
스토리텔링을 활용한 초등수학 수업,30시간,2023.09.18,5점,"고학년이 될수록 아이들이 수학을 무척 어려워 합니다. 그냥 계산만 잘해야 한다는 생각을 가지고 있는 경우도 많은데, 다양한 실생활 이야기를 활용하여 하나하나 아이들과 함께 해 보는 시간이 참 좋습니다. 흥미와 관심, 실력이 점점 좋아지고 무엇보다 수학을 하기 싫은 과목으로 생각하지 않는 것 같아요~~"
